incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
488970,2013-06-22,Rhode Island,Providence,0,4,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.8217,-71.4496,,0::39||1::26,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Teen 12-17||4::Adult 18+,0::Male||1::Male||4::Male,,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
489061,2013-06-23,Tennessee,Chattanooga,1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",35.0221,-85.2697,,0::19||1::21||2::30,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17||4::Adult 18+,0::Male||2::Male||3::Male||4::Male,,"0::Killed, Injured||1::Injured||2::Injured||3::Injured||4::Unharmed",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
489096,2013-06-23,California,Sacramento,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",38.4655,-121.459,,0::19||1::15||2::17||3::18||4::19,0::Adult 18+||1::Teen 12-17||2::Teen 12-17||3::Adult 18+||4::Adult 18+||5::Teen 12-17,0::Male||1::Female||2::Male||3::Male||4::Male||5::Male,,"0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect
489105,2013-06-23,Missouri,Kansas City,1,8,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",39.0891,-94.5518,,0::23||1::17,0::Adult 18+||1::Teen 12-17||9::Adult 18+,0::Male||1::Female||2::Male||9::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Injured||7::Injured||8::Injured||9::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim||7::Victim||8::Victim||9::Subject-Suspect
489121,2013-06-23,Louisiana,New Orleans,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",30.0165,-90.0689,1.0,0::18||1::20||2::18||3::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Male||3::Male||4::Male,,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
489129,2013-06-23,Virginia,Virginia Beach,1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",36.841,-76.1371,,0::25,0::Adult 18+,0::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim
489934,2013-06-24,Missouri,Kansas City,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",39.0914,-94.5484,,0::27,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Female||3::Female,,0::Killed||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim
489987,2013-06-25,Illinois,Chicago,1,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.7621,-87.6152,,0::19||1::20||2::20||3::19||4::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Female||4::Male,,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim
490048,2013-06-27,California,Three Rivers,2,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",36.4144,-118.925,1.0,0::28||1::29||2::20||3::28||4::21||5::17,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Teen 12-17,0::Male||1::Female||2::Male||3::Male||4::Male||5::Male,0::Family,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Killed||3::Killed||4::Injured||5::Injured",0::Subject-Suspect||1::Subject-Suspect||2::Victim||3::Victim||4::Victim||5::Victim
490115,2013-06-28,Illinois,Chicago,0,6,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.9691,-87.6548,,0::24||1::23||2::24||3::30||4::33||5::22,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Female||2::Male||3::Male||4::Male||5::Female,,0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim
