incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
882046,2017-06-22,Connecticut,Stamford,0,1,Shot - Wounded/Injured,41.0521,-73.5517,1.0,,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Female||1::Male||2::Male,,0::Injured||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect
874465,2017-06-22,New York,Buffalo (Cheektowaga),0,2,Shot - Wounded/Injured,42.9217,-78.7986,1.0,2::17,2::Teen 12-17,2::Male,,"0::Injured||1::Injured||2::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect
873733,2017-06-22,California,Stockton,0,0,Non-Shooting Incident||Drug involvement||Possession (gun(s) found during commission of other crimes),38.0288,-121.28299999999999,1.0,0::26,0::Adult 18+,,,0::Unharmed,0::Subject-Suspect
874471,2017-06-22,North Carolina,Charlotte,0,0,Institution/Group/Business||Shots Fired - No Injuries,35.2161,-80.7867,1.0,,,,,,
873740,2017-06-22,California,Stockton,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)",37.9513,-121.243,1.0,,0::Adult 18+,0::Male,,0::Unharmed,0::Subject-Suspect
874610,2017-06-22,Illinois,Peoria,0,0,Non-Shooting Incident||Officer Involved Incident||Officer Involved Incident - Weapon involved but no shots fired||Brandishing/flourishing/open carry/lost/found,40.6897,-89.5876,1.0,,,,,,
873385,2017-06-22,Florida,Bradenton,1,0,"Shot - Dead (murder, accidental, suicide)||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge||Playing with gun||Possession of gun by felon or prohibited person||Brandishing/flourishing/open carry/lost/found",27.489,-82.5655,1.0,0::12||1::13,0::Teen 12-17||1::Teen 12-17,,1::Family,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
873403,2017-06-22,Indiana,Indianapolis,0,1,Shot - Wounded/Injured,39.7768,-86.1577,1.0,,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
874146,2017-06-22,Illinois,Dolton,1,0,"Shot - Dead (murder, accidental, suicide)",41.6171,-87.5811,1.0,0::16,0::Teen 12-17,0::Male,,0::Killed,0::Victim
873421,2017-06-22,Indiana,Indianapolis,0,1,Shot - Wounded/Injured,39.7383,-86.152,1.0,0::18,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Injured||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect
874109,2017-06-22,Illinois,Chicago,0,2,"Shot - Wounded/Injured||Drive-by (car to street, car to car)",41.8588,-87.7204,1.0,0::23||1::35,0::Adult 18+||1::Adult 18+,0::Male||1::Male||2::Male,,0::Injured||1::Injured||2::Unharmed,0::Victim||1::Victim||2::Subject-Suspect
874475,2017-06-22,Delaware,Magnolia,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)||Domestic Violence||Possession of gun by felon or prohibited person",39.0633,-75.5283,1.0,0::27||1::19||2::19,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,0::Significant others - current or former,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect||2::Subject-Suspect
875535,2017-06-22,California,Ridgecrest,0,0,Non-Shooting Incident||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||Possession of gun by felon or prohibited person,35.6164,-117.67,1.0,0::34,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
874173,2017-06-22,Florida,Panama City (Callaway),0,0,Shots Fired - No Injuries,30.1328,-85.5828,1.0,0::16,0::Teen 12-17,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873961,2017-06-22,Arkansas,Little Rock,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)",34.7306,-92.3324,1.0,1::17,1::Teen 12-17,1::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
873545,2017-06-22,Florida,Rockledge,0,0,Shots Fired - No Injuries,28.3399,-80.7273,1.0,,0::Adult 18+,0::Male,,0::Unharmed,0::Subject-Suspect
873013,2017-06-22,California,Palmdale,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental/Negligent Discharge||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - Bystander killed||House party",34.5816,-118.11200000000001,1.0,0::17,0::Teen 12-17||1::Adult 18+,0::Male,,0::Killed||1::Injured,0::Victim||1::Victim
874185,2017-06-22,Florida,Miami Gardens,0,1,Shot - Wounded/Injured,25.9476,-80.2617,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
874194,2017-06-22,Florida,Fellsmere,0,0,Non-Shooting Incident||Defensive Use||Defensive Use - WITHOUT a gun||Road rage||Brandishing/flourishing/open carry/lost/found||Concealed Carry License - Perpetrator,27.7675,-80.5898,1.0,,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Unharmed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
873463,2017-06-22,Virginia,Richmond,2,0,"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Drug involvement||Domestic Violence",37.4911,-77.4661,1.0,0::26||1::28,0::Adult 18+||1::Adult 18+,0::Female||1::Male,1::Significant others - current or former,0::Killed||1::Killed,0::Victim||1::Subject-Suspect
877049,2017-06-22,Rhode Island,West Greenwich,0,0,"Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",41.6179,-71.6478,12.0,0::39,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873392,2017-06-22,South Carolina,Florence,0,1,Shot - Wounded/Injured||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge||Self-Inflicted (not suicide or suicide attempt - NO PERP)||School Incident||School Shooting - elementary/secondary school||Stolen/Illegally owned gun{s} recovered during arrest/warrant,34.2246,-79.7245,1.0,1::17,0::Teen 12-17||1::Teen 12-17,0::Male||1::Male,,"0::Injured, Arrested||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
