incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
570019,2016-06-01,New Hampshire,Manchester,0,0,Non-Shooting Incident||Officer Involved Incident||Officer Involved Incident - Weapon involved but no shots fired||Brandishing/flourishing/open carry/lost/found,42.9757,-71.4589,,0::35,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
865108,2016-06-01,Colorado,Rifle,0,0,Non-Shooting Incident||House party||Drug involvement||Sex crime involving firearm||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),39.5462,-107.788,1.0,0::28,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
704956,2016-06-01,Arizona,Phoenix,1,0,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Shootout (where VENN diagram of shooters and victims overlap)",33.4711,-112.223,1.0,0::30,0::Adult 18+,0::Male,,0::Killed,0::Subject-Suspect
571001,2016-06-01,Pennsylvania,Harrisburg,0,1,Shot - Wounded/Injured,40.2742,-76.8617,,,0::Adult 18+,0::Male,,0::Injured,0::Victim
569753,2016-06-01,Kentucky,Berea,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Shootout (where VENN diagram of shooters and victims overlap)",37.6041,-84.2014,1.0,1::51,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Killed,0::Victim||1::Subject-Suspect
573520,2016-06-01,North Dakota,Minot,0,0,Non-Shooting Incident||Drug involvement||Possession (gun(s) found during commission of other crimes),48.2131,-101.28299999999999,1.0,0::34||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
571006,2016-06-01,New York,Jamestown,0,0,Shots Fired - No Injuries||ATF/LE Confiscation/Raid/Arrest||Criminal act with stolen gun||Possession (gun(s) found during commission of other crimes)||Stolen/Illegally owned gun{s} recovered during arrest/warrant,42.1034,-79.2388,1.0,0::28,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
570039,2016-06-01,Illinois,Danville,0,1,Shot - Wounded/Injured,40.1421,-87.6329,,,0::Adult 18+,0::Male,,0::Injured,0::Victim
570474,2016-06-01,Georgia,Newnan,1,0,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Shootout (where VENN diagram of shooters and victims overlap)||Possession of gun by felon or prohibited person",,,1.0,0::21,0::Adult 18+,0::Male,,0::Killed,0::Subject-Suspect
787716,2016-06-01,Washington,Seattle,0,0,"Non-Shooting Incident||Gang involvement||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person||Unlawful purchase/sale||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",47.6138,-122.33200000000001,10.0,,,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
